source,index,annotation
data/day2/2026_03_03_11-11-01.cu3s,0-1,data/day2/2026_03_03_11-11-01.json
data/day2/2026_03_03_11-31-31.cu3s,0-16,data/day2/2026_03_03_11-31-31.json
data/day2/2026_03_03_11-38-39.cu3s,0-80,data/day2/2026_03_03_11-38-39.json
data/day2/2026_03_03_13-58-04_1.cu3s,0-95,data/day2/2026_03_03_13-58-04_1.json
data/day2/2026_03_03_13-58-04_2.cu3s,0-135,data/day2/2026_03_03_13-58-04_2.json
data/day2/2026_03_03_15-25-02.cu3s,0-51,data/day2/2026_03_03_15-25-02.json
data/day3/2026_03_10_10-17-20.cu3s,0-83,data/day3/2026_03_10_10-17-20.json
data/day3/2026_03_10_10-58-55.cu3s,0-35,data/day3/2026_03_10_10-58-55.json
data/day3/2026_03_10_11-30-45.cu3s,0-119,data/day3/2026_03_10_11-30-45.json
data/day3/2026_03_10_12-00-18.cu3s,0-39,data/day3/2026_03_10_12-00-18.json
data/day3/2026_03_10_14-32-01.cu3s,0-91,data/day3/2026_03_10_14-32-01.json
data/day3/2026_03_10_15-12-17.cu3s,0-119,data/day3/2026_03_10_15-12-17.json
data/day4/2026_03_17_11-11-50.cu3s,0-79,data/day4/2026_03_17_11-11-50.json
data/day4/2026_03_17_11-41-54.cu3s,0-79,data/day4/2026_03_17_11-41-54.json
data/day4/2026_03_17_14-38-58.cu3s,0-99,data/day4/2026_03_17_14-38-58.json
